Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
AID_DM_3913,0.05,20,20,0,0,0
AID_DM_3914,0.05,20,20,0,0,0
AID_DM_4003,0.05,20,20,0,0,0
AID_DM_3998,0.05,20,20,0,0,0
AID_DM_4051,0.05,20,20,0,0,0
AID_DM_4065,0.05,20,20,0,0,0
AID_DM_4058,0.05,20,20,0,0,0
AID_DM_4097,0.05,20,20,0,0,0
AID104236,0.05,20,20,0,0,0
AID104294,0.05,20,20,0,0,0
AID101718,0.05,20,20,0,0,0
AID104857,0.05,20,20,0,0,0
AID106710,0.05,20,20,0,0,0
