Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
AID_DM_3500,11,1,1,1,0,-1,0,97200,873.04,0,0,0,0,0,NewHampshire,1
AID_DM_3512,11,1,1,1,0,-1,0,97200,873.04,0,0,0,0,0,NewHampshire,1
AID_DM_3673,13,1,1,1,0,-1,0,97200,783.38,0,0,0,0,0,Vermont,1
AID_DM_3732,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_3759,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_3806,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_383,1,1,1,1,0,-1,0,97200,493.52,0,0,0,0,0,Boston,1
AID_DM_3855,11,1,1,1,0,-1,0,97200,873.04,0,0,0,0,0,NewHampshire,1
AID_DM_3884,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_3913,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_3914,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_3998,13,1,1,1,0,-1,0,97200,783.38,0,0,0,0,0,Vermont,1
AID_DM_4,2,1,1,1,0,-1,0,97200,495.4490909,0,0,0,0,0,ConnCentral,1
AID_DM_4003,11,1,1,1,0,-1,0,97200,873.04,0,0,0,0,0,NewHampshire,1
AID_DM_4051,9,1,1,1,0,-1,0,97200,1062.23,0,0,0,0,0,MassSE,1
AID_DM_4058,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_4065,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_4097,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_461,12,1,1,1,0,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_50,12,1,1,1,0,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_507,9,1,1,1,0,-1,0,97200,491.7385714,0,0,0,0,0,MassSE,1
AID_DM_552,2,1,1,1,0,-1,0,97200,495.4490909,0,0,0,0,0,ConnCentral,1
AID_DM_608,12,1,1,1,0,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_653,9,1,1,1,0,-1,0,97200,491.7385714,0,0,0,0,0,MassSE,1
AID_DM_654,12,1,1,1,0,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_667,12,1,1,1,0,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_668,12,1,1,1,0,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_669,12,1,1,1,0,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_712,1,1,1,1,0,-1,0,97200,493.52,0,0,0,0,0,Boston,1
AID_DM_72,2,1,1,1,0,-1,0,97200,495.4490909,0,0,0,0,0,ConnCentral,1
AID_DM_75,9,1,1,1,0,-1,0,97200,491.7385714,0,0,0,0,0,MassSE,1
AID_DM_775,10,1,1,1,0,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
AID_DM_925,9,1,1,1,0,-1,0,97200,491.7385714,0,0,0,0,0,MassSE,1
AID_DM_935,10,1,1,1,0,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
